'fromvheinemannmdcberlinde' | In regular: 3 | In spam: 0
'tothe' | In regular: 25 | In spam: 18
'forthe' | In regular: 23 | In spam: 14
'howto' | In regular: 1 | In spam: 2
'toput' | In regular: 4 | In spam: 1
'underthe' | In regular: 1 | In spam: 2
'thesame' | In regular: 1 | In spam: 5
'internetaddress' | In regular: 73 | In spam: 0
'youmay' | In regular: 5 | In spam: 2
'wantto' | In regular: 6 | In spam: 7
'tocheck' | In regular: 2 | In spam: 1
'aswell' | In regular: 1 | In spam: 3
'interestto' | In regular: 5 | In spam: 0
'toyou' | In regular: 7 | In spam: 0
'youare' | In regular: 2 | In spam: 3
'phdstudent' | In regular: 20 | In spam: 0
'student' | In regular: 15 | In spam: 0
'belgium' | In regular: 6 | In spam: 0
'ghent' | In regular: 3 | In spam: 0
'university' | In regular: 32 | In spam: 0
'department' | In regular: 8 | In spam: 0
'departmentof' | In regular: 12 | In spam: 1
'institut' | In regular: 6 | In spam: 0
'dept' | In regular: 5 | In spam: 0
'deptof' | In regular: 4 | In spam: 0
'ofneuroscience' | In regular: 72 | In spam: 0
'germany' | In regular: 22 | In spam: 0
'institute' | In regular: 11 | In spam: 0
'instituteof' | In regular: 7 | In spam: 0
'pharmacology' | In regular: 3 | In spam: 0
'center' | In regular: 5 | In spam: 2
'schoolof' | In regular: 5 | In spam: 0
'science' | In regular: 3 | In spam: 0
'graduatestudent' | In regular: 3 | In spam: 0
'studentand' | In regular: 3 | In spam: 0
'postdoctoralpositions' | In regular: 3 | In spam: 0
'frankfurt' | In regular: 5 | In spam: 0
'institutefor' | In regular: 5 | In spam: 0
'divisionof' | In regular: 3 | In spam: 0
'tuebingen' | In regular: 6 | In spam: 0
'universityof' | In regular: 30 | In spam: 1
'netherlands' | In regular: 14 | In spam: 0
'amsterdam' | In regular: 4 | In spam: 0
'researchinstitute' | In regular: 3 | In spam: 0
'rotterdam' | In regular: 6 | In spam: 0
'erasmus' | In regular: 3 | In spam: 0
'groningen' | In regular: 5 | In spam: 0
'newzealand' | In regular: 4 | In spam: 0
'auckland' | In regular: 4 | In spam: 0
'univof' | In regular: 3 | In spam: 0
'facultyof' | In regular: 6 | In spam: 0
'ofmedical' | In regular: 4 | In spam: 0
'medicaland' | In regular: 3 | In spam: 0
'andhealth' | In regular: 3 | In spam: 0
'sciences' | In regular: 6 | In spam: 0
'ofphysiology' | In regular: 4 | In spam: 0
'norway' | In regular: 4 | In spam: 0
'medicalsciences' | In regular: 4 | In spam: 0
'singapore' | In regular: 6 | In spam: 0
'epilepsy' | In regular: 3 | In spam: 0
'spain' | In regular: 4 | In spam: 0
'barcelona' | In regular: 3 | In spam: 0
'switzerland' | In regular: 8 | In spam: 0
'lausanne' | In regular: 5 | In spam: 0
'medicalschool' | In regular: 3 | In spam: 0
'unitedkingdom' | In regular: 3 | In spam: 0
'position' | In regular: 50 | In spam: 0
'birmingham' | In regular: 9 | In spam: 0
'ofbirmingham' | In regular: 3 | In spam: 0
'universitylab' | In regular: 3 | In spam: 0
'labphysiology' | In regular: 3 | In spam: 0
'psychology' | In regular: 3 | In spam: 0
'postdoctoralposition' | In regular: 47 | In spam: 0
'antwerp' | In regular: 6 | In spam: 0
'biomedical' | In regular: 4 | In spam: 0
'france' | In regular: 26 | In spam: 0
'montpellier' | In regular: 7 | In spam: 0
'inserm' | In regular: 8 | In spam: 0
'marseille' | In regular: 4 | In spam: 0
'ofmedicine' | In regular: 5 | In spam: 0
'medicine' | In regular: 4 | In spam: 0
'cnrs' | In regular: 5 | In spam: 0
'centre' | In regular: 3 | In spam: 0
'centrede' | In regular: 3 | In spam: 0
'physiology' | In regular: 3 | In spam: 0
'italy' | In regular: 12 | In spam: 0
'parma' | In regular: 4 | In spam: 0
'milano' | In regular: 5 | In spam: 0
'centerof' | In regular: 1 | In spam: 2
'thenetherlands' | In regular: 6 | In spam: 0
'uppsala' | In regular: 3 | In spam: 0
'zurich' | In regular: 3 | In spam: 0
'brain' | In regular: 5 | In spam: 0
'research' | In regular: 3 | In spam: 0
'london' | In regular: 11 | In spam: 0
'universitycollege' | In regular: 4 | In spam: 0
'collegelondon' | In regular: 4 | In spam: 0
'centrefor' | In regular: 3 | In spam: 0
'neural' | In regular: 3 | In spam: 0
'neurology' | In regular: 3 | In spam: 0
'boston' | In regular: 4 | In spam: 0
'sales' | In regular: 2 | In spam: 1
'veraheinemann' | In regular: 3 | In spam: 0
'officeberlin' | In regular: 3 | In spam: 0
'maxdelbrueckcenterfor' | In regular: 3 | In spam: 0
'formolecular' | In regular: 3 | In spam: 0
'molecularmedicine' | In regular: 3 | In spam: 0
'medicinemdc' | In regular: 3 | In spam: 0
'emailvheinemannmdcberlinde' | In regular: 3 | In spam: 0
'tuenov' | In regular: 2 | In spam: 2
'mbulacuairugnltue' | In regular: 2 | In spam: 4
'mbulacuairugnl' | In regular: 3 | In spam: 0
'becomesonly' | In regular: 3 | In spam: 0
'onlythird' | In regular: 3 | In spam: 0
'thirdnation' | In regular: 4 | In spam: 0
'nationto' | In regular: 3 | In spam: 1
'manin' | In regular: 3 | In spam: 0
'inspace' | In regular: 3 | In spam: 0
'datetue' | In regular: 3 | In spam: 4
'contenttypemultipartalternative' | In regular: 2 | In spam: 7
'xmailermicrosoft' | In regular: 2 | In spam: 2
'microsoftoutlook' | In regular: 2 | In spam: 2
'outlookexpress' | In regular: 2 | In spam: 2
'thisis' | In regular: 12 | In spam: 13
'amultipart' | In regular: 7 | In spam: 0
'multipartmessage' | In regular: 8 | In spam: 0
'messagein' | In regular: 7 | In spam: 0
'inmime' | In regular: 7 | In spam: 0
'mimeformat' | In regular: 7 | In spam: 0
'contenttransferencodingquotedprintable' | In regular: 2 | In spam: 7
'itsfirst' | In regular: 5 | In spam: 0
'onwednesday' | In regular: 3 | In spam: 0
'wednesday' | In regular: 1 | In spam: 5
'aroundthe' | In regular: 6 | In spam: 1
'theearth' | In regular: 6 | In spam: 0
'afterthe' | In regular: 2 | In spam: 1
'sovietunion' | In regular: 3 | In spam: 0
'unionand' | In regular: 4 | In spam: 0
'theunited' | In regular: 9 | In spam: 2
'unitedstates' | In regular: 8 | In spam: 3
'mannedspace' | In regular: 3 | In spam: 0
'spaceflight' | In regular: 4 | In spam: 0
'longmarch' | In regular: 4 | In spam: 0
'liftedoff' | In regular: 4 | In spam: 0
'offinto' | In regular: 3 | In spam: 0
'into' | In regular: 2 | In spam: 1
'aclear' | In regular: 3 | In spam: 0
'clearblue' | In regular: 4 | In spam: 0
'bluesky' | In regular: 3 | In spam: 0
'overthe' | In regular: 2 | In spam: 4
'pmedt' | In regular: 4 | In spam: 0
'thelaunch' | In regular: 11 | In spam: 0
'assaying' | In regular: 3 | In spam: 0
'asthe' | In regular: 4 | In spam: 7
'theshenzhou' | In regular: 4 | In spam: 0
'partof' | In regular: 2 | In spam: 1
'ofan' | In regular: 5 | In spam: 8
'willmake' | In regular: 2 | In spam: 1
'justthe' | In regular: 2 | In spam: 1
'thethird' | In regular: 2 | In spam: 1
'puta' | In regular: 3 | In spam: 0
'aman' | In regular: 2 | In spam: 1
'space' | In regular: 4 | In spam: 0
'himto' | In regular: 2 | In spam: 1
'over' | In regular: 4 | In spam: 2
'andthe' | In regular: 9 | In spam: 11
'atthe' | In regular: 8 | In spam: 10
'shenzhouv' | In regular: 4 | In spam: 0
'inthe' | In regular: 50 | In spam: 37
'ofthe' | In regular: 36 | In spam: 42
'launch' | In regular: 4 | In spam: 0
'after' | In regular: 3 | In spam: 0
'andan' | In regular: 3 | In spam: 0
'anofficial' | In regular: 4 | In spam: 0
'thatthe' | In regular: 6 | In spam: 5
'wasa' | In regular: 2 | In spam: 5
'theworlds' | In regular: 5 | In spam: 0
'worldsmost' | In regular: 3 | In spam: 0
'presidenthu' | In regular: 4 | In spam: 0
'ofour' | In regular: 2 | In spam: 2
'downthe' | In regular: 2 | In spam: 1
'ofsuch' | In regular: 2 | In spam: 1
'sucha' | In regular: 2 | In spam: 2
'itis' | In regular: 10 | In spam: 7
'ashow' | In regular: 4 | In spam: 0
'showof' | In regular: 3 | In spam: 0
'outin' | In regular: 2 | In spam: 1
'tosee' | In regular: 3 | In spam: 4
'andat' | In regular: 2 | In spam: 3
'news' | In regular: 5 | In spam: 1
'thechinese' | In regular: 3 | In spam: 0
'chinesepeople' | In regular: 3 | In spam: 0
'havea' | In regular: 3 | In spam: 4
'along' | In regular: 4 | In spam: 0
'historyof' | In regular: 2 | In spam: 1
'hesaid' | In regular: 2 | In spam: 1
'saidin' | In regular: 2 | In spam: 1
'thebottom' | In regular: 2 | In spam: 1
'with' | In regular: 5 | In spam: 0
'thebest' | In regular: 2 | In spam: 9
'bythe' | In regular: 14 | In spam: 7
'saidthe' | In regular: 2 | In spam: 3
'thatwill' | In regular: 2 | In spam: 2
'isthe' | In regular: 9 | In spam: 6
'ofall' | In regular: 4 | In spam: 7
'thesignificant' | In regular: 2 | In spam: 1
'dueto' | In regular: 2 | In spam: 1
'froma' | In regular: 3 | In spam: 5
'hewas' | In regular: 1 | In spam: 8
'weare' | In regular: 1 | In spam: 5
'ofhim' | In regular: 2 | In spam: 1
'dontworry' | In regular: 2 | In spam: 1
'worryabout' | In regular: 2 | In spam: 2
'abouthis' | In regular: 2 | In spam: 1
'fora' | In regular: 4 | In spam: 13
'spaceprogram' | In regular: 3 | In spam: 0
'sawthe' | In regular: 2 | In spam: 1
'onthe' | In regular: 17 | In spam: 8
'theeast' | In regular: 2 | In spam: 1
'eastis' | In regular: 4 | In spam: 0
'march' | In regular: 2 | In spam: 1
'outthe' | In regular: 3 | In spam: 4
'programand' | In regular: 2 | In spam: 1
'programsand' | In regular: 3 | In spam: 0
'anda' | In regular: 4 | In spam: 8
'thata' | In regular: 3 | In spam: 1
'tohave' | In regular: 3 | In spam: 1
'havebeen' | In regular: 4 | In spam: 7
'butthe' | In regular: 2 | In spam: 4
'contenttypetexthtml' | In regular: 3 | In spam: 9
'doctypehtml' | In regular: 1 | In spam: 2
'htmlpublic' | In regular: 1 | In spam: 2
'first' | In regular: 3 | In spam: 1
'four' | In regular: 3 | In spam: 0
'intoa' | In regular: 2 | In spam: 2
'theworld' | In regular: 4 | In spam: 6
'thuoct' | In regular: 6 | In spam: 0
'mbulacuairugnlthu' | In regular: 12 | In spam: 7
'datethu' | In regular: 10 | In spam: 3
'theieee' | In regular: 9 | In spam: 0
'xaimailscannerspamscoresss' | In regular: 4 | In spam: 0
'marius' | In regular: 3 | In spam: 0
'foryour' | In regular: 4 | In spam: 0
'ieee' | In regular: 4 | In spam: 0
'ihope' | In regular: 5 | In spam: 0
'hopethat' | In regular: 4 | In spam: 0
'thatyou' | In regular: 6 | In spam: 4
'youhave' | In regular: 7 | In spam: 7
'thatare' | In regular: 2 | In spam: 1
'tobecome' | In regular: 1 | In spam: 3
'withthe' | In regular: 6 | In spam: 13
'productsand' | In regular: 3 | In spam: 0
'andservices' | In regular: 4 | In spam: 0
'thatis' | In regular: 2 | In spam: 2
'youwith' | In regular: 4 | In spam: 0
'someof' | In regular: 1 | In spam: 5
'wehave' | In regular: 1 | In spam: 5
'soyou' | In regular: 3 | In spam: 2
'ieeespectrum' | In regular: 3 | In spam: 0
'accessto' | In regular: 6 | In spam: 1
'providesyou' | In regular: 3 | In spam: 0
'ofcontents' | In regular: 7 | In spam: 0
'toany' | In regular: 3 | In spam: 2
'ofyour' | In regular: 2 | In spam: 1
'emailalias' | In regular: 3 | In spam: 0
'haveto' | In regular: 4 | In spam: 6
'emailaddress' | In regular: 3 | In spam: 0
'anieee' | In regular: 3 | In spam: 0
'youwill' | In regular: 5 | In spam: 12
'willbe' | In regular: 11 | In spam: 2
'ieeeeducational' | In regular: 3 | In spam: 0
'activities' | In regular: 3 | In spam: 0
'thousandsof' | In regular: 1 | In spam: 2
'availableonline' | In regular: 3 | In spam: 0
'ieeemembers' | In regular: 3 | In spam: 0
'toview' | In regular: 6 | In spam: 0
'goto' | In regular: 5 | In spam: 1
'withyour' | In regular: 3 | In spam: 2
'andother' | In regular: 3 | In spam: 1
'othergreat' | In regular: 1 | In spam: 2
'theabove' | In regular: 3 | In spam: 1
'ifyou' | In regular: 10 | In spam: 7
'youcan' | In regular: 7 | In spam: 7
'tohelp' | In regular: 3 | In spam: 4
'nowand' | In regular: 1 | In spam: 4
'andin' | In regular: 2 | In spam: 3
'letus' | In regular: 1 | In spam: 2
'email' | In regular: 3 | In spam: 0
'invokedfrom' | In regular: 3 | In spam: 0
'fromnetwork' | In regular: 3 | In spam: 0
'internationalconference' | In regular: 4 | In spam: 0
'conferenceon' | In regular: 5 | In spam: 0
'imageprocessing' | In regular: 5 | In spam: 0
'callfor' | In regular: 4 | In spam: 0
'forpapers' | In regular: 3 | In spam: 0
'papers' | In regular: 3 | In spam: 0
'icip' | In regular: 4 | In spam: 0
'like' | In regular: 4 | In spam: 1
'international' | In regular: 5 | In spam: 0
'conference' | In regular: 3 | In spam: 0
'image' | In regular: 13 | In spam: 0
'processing' | In regular: 14 | In spam: 0
'convention' | In regular: 4 | In spam: 0
'andto' | In regular: 3 | In spam: 5
'specialsessions' | In regular: 6 | In spam: 0
'october' | In regular: 4 | In spam: 0
'theinternational' | In regular: 2 | In spam: 1
'imageand' | In regular: 3 | In spam: 0
'video' | In regular: 5 | In spam: 0
'thathas' | In regular: 1 | In spam: 2
'will' | In regular: 7 | In spam: 0
'world' | In regular: 3 | In spam: 1
'from' | In regular: 3 | In spam: 55
'applications' | In regular: 3 | In spam: 0
'multimedia' | In regular: 4 | In spam: 0
'results' | In regular: 4 | In spam: 0
'sessions' | In regular: 7 | In spam: 0
'andvideo' | In regular: 3 | In spam: 0
'coding' | In regular: 3 | In spam: 0
'restoration' | In regular: 3 | In spam: 0
'colorand' | In regular: 1 | In spam: 2
'analysis' | In regular: 3 | In spam: 0
'spatial' | In regular: 3 | In spam: 0
'imaging' | In regular: 6 | In spam: 0
'astronomy' | In regular: 4 | In spam: 0
'andcolor' | In regular: 1 | In spam: 2
'other' | In regular: 2 | In spam: 2
'anddocument' | In regular: 1 | In spam: 2
'morethan' | In regular: 3 | In spam: 6
'website' | In regular: 3 | In spam: 0
'january' | In regular: 4 | In spam: 0
'beheld' | In regular: 3 | In spam: 0
'sunday' | In regular: 2 | In spam: 4
'proposals' | In regular: 7 | In spam: 0
'informationfor' | In regular: 3 | In spam: 0
'should' | In regular: 5 | In spam: 0
'submitted' | In regular: 4 | In spam: 0
'include' | In regular: 3 | In spam: 0
'special' | In regular: 5 | In spam: 0
'shouldbe' | In regular: 3 | In spam: 2
'listof' | In regular: 2 | In spam: 1
'nanyang' | In regular: 11 | In spam: 0
'nanyangtechnological' | In regular: 11 | In spam: 0
'technologicaluniversity' | In regular: 11 | In spam: 0
'universitysingapore' | In regular: 11 | In spam: 0
'universityusa' | In regular: 3 | In spam: 0
'fromlschomakerairugnl' | In regular: 4 | In spam: 0
'returnpathlschomakerairugnl' | In regular: 4 | In spam: 0
'fromairugnl' | In regular: 5 | In spam: 0
'forbulacuairugnl' | In regular: 7 | In spam: 0
'bulacuairugnlmon' | In regular: 4 | In spam: 0
'datemon' | In regular: 6 | In spam: 3
'fromlambert' | In regular: 4 | In spam: 0
'lambertschomaker' | In regular: 4 | In spam: 0
'schomakerlschomakerairugnl' | In regular: 4 | In spam: 0
'ulinux' | In regular: 4 | In spam: 0
'xacceptlanguageenus' | In regular: 5 | In spam: 0
'enusen' | In regular: 5 | In spam: 0
'tobulacuairugnl' | In regular: 6 | In spam: 0
'subjectthe' | In regular: 2 | In spam: 2
'autoclassproject' | In regular: 3 | In spam: 0
'contenttypemultipartmixed' | In regular: 6 | In spam: 0
'spamwhitelisted' | In regular: 9 | In spam: 0
'textplaincharsetusascii' | In regular: 8 | In spam: 0
'charsetusasciiformatflowed' | In regular: 4 | In spam: 0
'contentdispositioninline' | In regular: 4 | In spam: 0
'imgsrc' | In regular: 12 | In spam: 1
'imgiconsrainbowlinegif' | In regular: 4 | In spam: 0
'imgiconsrainbowlinegifalt' | In regular: 4 | In spam: 0
'imgiconspurpleballgif' | In regular: 8 | In spam: 0
'imgiconspurpleballgifalt' | In regular: 5 | In spam: 0
'alta' | In regular: 4 | In spam: 0
'imgiconspurpleballgifalta' | In regular: 3 | In spam: 0
'autoclass' | In regular: 3 | In spam: 0
'needto' | In regular: 3 | In spam: 1
'ithas' | In regular: 1 | In spam: 3
'foundat' | In regular: 3 | In spam: 0
'endof' | In regular: 2 | In spam: 4
'ofits' | In regular: 1 | In spam: 5
'patternsin' | In regular: 4 | In spam: 0
'ofnew' | In regular: 2 | In spam: 2
'classesof' | In regular: 3 | In spam: 0
'thetwo' | In regular: 1 | In spam: 2
'ofstars' | In regular: 3 | In spam: 0
'onthis' | In regular: 3 | In spam: 2
'theinstitute' | In regular: 11 | In spam: 0
'instituteonline' | In regular: 4 | In spam: 0
'onlinealert' | In regular: 4 | In spam: 0
'alertfor' | In regular: 3 | In spam: 0
'xaimailscannerspamscores' | In regular: 5 | In spam: 0
'mariusbulacu' | In regular: 8 | In spam: 0
'themost' | In regular: 4 | In spam: 1
'inthis' | In regular: 3 | In spam: 8
'thisissue' | In regular: 3 | In spam: 0
'ieeenetwork' | In regular: 3 | In spam: 0
'networkmagazine' | In regular: 3 | In spam: 0
'surveyand' | In regular: 3 | In spam: 0
'andget' | In regular: 2 | In spam: 4
'getfree' | In regular: 2 | In spam: 2
'freeaccess' | In regular: 2 | In spam: 2
'electionballots' | In regular: 3 | In spam: 0
'tosolve' | In regular: 2 | In spam: 1
'electronicstrade' | In regular: 3 | In spam: 0
'tradeshow' | In regular: 3 | In spam: 0
'wantedto' | In regular: 2 | In spam: 2
'theend' | In regular: 1 | In spam: 3
'aboutthe' | In regular: 10 | In spam: 2
'thelinks' | In regular: 3 | In spam: 0
'thisemail' | In regular: 3 | In spam: 0
'thesecond' | In regular: 2 | In spam: 1
'thelist' | In regular: 1 | In spam: 3
'reports' | In regular: 3 | In spam: 0
'thefirst' | In regular: 2 | In spam: 8
'firsttime' | In regular: 1 | In spam: 3
'thetop' | In regular: 1 | In spam: 2
'journal' | In regular: 3 | In spam: 0
'electricaland' | In regular: 3 | In spam: 0
'systems' | In regular: 2 | In spam: 1
'witha' | In regular: 4 | In spam: 7
'memberswho' | In regular: 4 | In spam: 0
'readmore' | In regular: 2 | In spam: 1
'moreat' | In regular: 3 | In spam: 0
'forthis' | In regular: 4 | In spam: 2
'receiptof' | In regular: 2 | In spam: 1
'nolonger' | In regular: 1 | In spam: 2
'havethe' | In regular: 2 | In spam: 3
'inyour' | In regular: 1 | In spam: 12
'visit' | In regular: 7 | In spam: 0
'andit' | In regular: 1 | In spam: 2
'findout' | In regular: 1 | In spam: 2
'ifyour' | In regular: 1 | In spam: 4
'totake' | In regular: 2 | In spam: 1
'clickon' | In regular: 7 | In spam: 0
'makethe' | In regular: 1 | In spam: 3
'inwhich' | In regular: 1 | In spam: 4
'devicethat' | In regular: 1 | In spam: 2
'receivea' | In regular: 2 | In spam: 9
'november' | In regular: 3 | In spam: 0
'isan' | In regular: 1 | In spam: 3
'thenews' | In regular: 1 | In spam: 2
'membersof' | In regular: 2 | In spam: 2
'thealert' | In regular: 3 | In spam: 0
'thosemembers' | In regular: 3 | In spam: 0
'doso' | In regular: 3 | In spam: 0
'goingto' | In regular: 1 | In spam: 3
'withinthe' | In regular: 2 | In spam: 1
'theus' | In regular: 2 | In spam: 1
'ifthis' | In regular: 1 | In spam: 3
'arenot' | In regular: 1 | In spam: 4
'subscribeto' | In regular: 4 | In spam: 0
'amessage' | In regular: 2 | In spam: 1
'europeanjournal' | In regular: 67 | In spam: 0
'journalof' | In regular: 67 | In spam: 1
'neurosciencevolume' | In regular: 67 | In spam: 0
'thetable' | In regular: 6 | In spam: 0
'tableof' | In regular: 6 | In spam: 0
'issueis' | In regular: 4 | In spam: 0
'isnow' | In regular: 3 | In spam: 2
'belowto' | In regular: 2 | In spam: 2
'viewthe' | In regular: 5 | In spam: 0
'theabstract' | In regular: 2 | In spam: 1
'foreach' | In regular: 2 | In spam: 1
'toread' | In regular: 2 | In spam: 2
'readthe' | In regular: 2 | In spam: 1
'help' | In regular: 2 | In spam: 1
'geneexpression' | In regular: 3 | In spam: 0
'expressionin' | In regular: 3 | In spam: 0
'knockoutmice' | In regular: 3 | In spam: 0
'mice' | In regular: 5 | In spam: 0
'thebrain' | In regular: 5 | In spam: 0
'modelof' | In regular: 3 | In spam: 0
'ofmouse' | In regular: 4 | In spam: 0
'roleof' | In regular: 3 | In spam: 0
'learningand' | In regular: 3 | In spam: 0
'butnot' | In regular: 2 | In spam: 1
'frommibulacuphysrugnl' | In regular: 6 | In spam: 0
'mibulacuphysrugnlthu' | In regular: 3 | In spam: 0
'returnpathmibulacuphysrugnl' | In regular: 3 | In spam: 0
'frombabylonnaturecom' | In regular: 3 | In spam: 0
'babylonnaturecombabylonnaturecom' | In regular: 3 | In spam: 0
'subjectnature' | In regular: 3 | In spam: 0
'naturearticle' | In regular: 6 | In spam: 0
'xmailertango' | In regular: 3 | In spam: 0
'xmimeautoconvertedfrom' | In regular: 5 | In spam: 0
'fromquotedprintable' | In regular: 5 | In spam: 0
'quotedprintableto' | In regular: 5 | In spam: 0
'yourfriend' | In regular: 3 | In spam: 0
'friendor' | In regular: 3 | In spam: 0
'orcolleague' | In regular: 3 | In spam: 0
'colleaguemibulacuphysrugnl' | In regular: 3 | In spam: 0
'mibulacuphysrugnlthought' | In regular: 3 | In spam: 0
'thoughtthis' | In regular: 3 | In spam: 0
'thisarticle' | In regular: 3 | In spam: 0
'articlefrom' | In regular: 3 | In spam: 0
'fromnature' | In regular: 3 | In spam: 0
'wouldbe' | In regular: 3 | In spam: 1
'beof' | In regular: 3 | In spam: 0
'ofparticular' | In regular: 3 | In spam: 0
'particularinterest' | In regular: 3 | In spam: 0
'youtheir' | In regular: 3 | In spam: 0
'theirmessage' | In regular: 6 | In spam: 0
'messageis' | In regular: 3 | In spam: 0
'isbelow' | In regular: 3 | In spam: 0
'theaddress' | In regular: 3 | In spam: 0
'addressis' | In regular: 3 | In spam: 0
'naturewwwnaturecom' | In regular: 3 | In spam: 0
'thewhole' | In regular: 3 | In spam: 2
'wholerange' | In regular: 3 | In spam: 0
'rangeof' | In regular: 3 | In spam: 0
'ofinformation' | In regular: 3 | In spam: 1
'informationavailable' | In regular: 3 | In spam: 0
'availablein' | In regular: 3 | In spam: 1
'innature' | In regular: 3 | In spam: 0
'natureand' | In regular: 3 | In spam: 0
'andits' | In regular: 4 | In spam: 3
'itsportals' | In regular: 3 | In spam: 0
'portalsvisit' | In regular: 3 | In spam: 0
'tosubscribe' | In regular: 3 | In spam: 1
'thescience' | In regular: 3 | In spam: 0
'sciencejournal' | In regular: 3 | In spam: 0
'journalwith' | In regular: 3 | In spam: 0
'mostcuttingedge' | In regular: 3 | In spam: 0
'cuttingedgeresearch' | In regular: 3 | In spam: 0
'researchnews' | In regular: 3 | In spam: 0
'viewsand' | In regular: 3 | In spam: 0
'andreviews' | In regular: 3 | In spam: 0
'reviewsclick' | In regular: 3 | In spam: 0
'clickwwwnaturecomsubscribe' | In regular: 3 | In spam: 0
'thunov' | In regular: 3 | In spam: 2
'cognitionemail' | In regular: 3 | In spam: 0
'emailalerts' | In regular: 4 | In spam: 0
'fromdepppswrugnl' | In regular: 2 | In spam: 4
'depppswrugnldepppswrugnl' | In regular: 2 | In spam: 4
'bydepppswrugnl' | In regular: 2 | In spam: 4
'forlambertlocalhost' | In regular: 4 | In spam: 0
'internetmail' | In regular: 2 | In spam: 2
'mailservice' | In regular: 2 | In spam: 2
'thisalert' | In regular: 1 | In spam: 3
'nwocognitie' | In regular: 4 | In spam: 0
'cognitiesessie' | In regular: 4 | In spam: 0
'egmondaan' | In regular: 3 | In spam: 0
'informationhttpwwwonwamedvunl' | In regular: 3 | In spam: 0
'fcdonders' | In regular: 3 | In spam: 0
'thehuman' | In regular: 3 | In spam: 0
'thehippocampus' | In regular: 3 | In spam: 0
'doand' | In regular: 2 | In spam: 1
'andhow' | In regular: 2 | In spam: 1
'doesit' | In regular: 2 | In spam: 1
'speakerj' | In regular: 3 | In spam: 0
'symposiumon' | In regular: 3 | In spam: 0
'indutch' | In regular: 3 | In spam: 0
'aanzee' | In regular: 3 | In spam: 0
'marchamsterdam' | In regular: 3 | In spam: 0
'evolutionof' | In regular: 2 | In spam: 1
'emailalert' | In regular: 3 | In spam: 0
'yourname' | In regular: 1 | In spam: 2
'mailinglist' | In regular: 3 | In spam: 0
'fromspooldir' | In regular: 3 | In spam: 0
'spooldirby' | In regular: 3 | In spam: 0
'dhkoopmansdhkoopmansmedrugnl' | In regular: 4 | In spam: 0
'prioritynormal' | In regular: 4 | In spam: 0
'xmailerpegasus' | In regular: 3 | In spam: 0
'pegasusmail' | In regular: 3 | In spam: 0
'mailfor' | In regular: 3 | In spam: 0
'statusr' | In regular: 1 | In spam: 4
'xstatusn' | In regular: 1 | In spam: 4
'thegroninger' | In regular: 3 | In spam: 0
'togo' | In regular: 3 | In spam: 3
'signup' | In regular: 2 | In spam: 2
'foronly' | In regular: 1 | In spam: 2
'agroup' | In regular: 2 | In spam: 1
'groupof' | In regular: 2 | In spam: 1
'theuniversity' | In regular: 2 | In spam: 1
'useof' | In regular: 4 | In spam: 1
'ofthis' | In regular: 2 | In spam: 10
'theroyal' | In regular: 5 | In spam: 0
'royalafternoon' | In regular: 3 | In spam: 0
'ableto' | In regular: 1 | In spam: 2
'asmall' | In regular: 1 | In spam: 2
'donthave' | In regular: 1 | In spam: 3
'thereare' | In regular: 1 | In spam: 2
'tellyou' | In regular: 1 | In spam: 2
'whois' | In regular: 1 | In spam: 2
